#alt_asm_name	prim_asm_name	alt_scaf_name	parent_type	parent_name	ori	alt_scaf_start	alt_scaf_stop	parent_start	parent_stop	alt_start_tail	alt_stop_tail
haplotigs	Primary Assembly	000000F_001	SCAFFOLD	000000F	+	1	37300	8178337	8215578	0	0
haplotigs	Primary Assembly	000000F_004	SCAFFOLD	000000F	+	1	16691	1872099	1888842	0	0
haplotigs	Primary Assembly	000000F_005	SCAFFOLD	000000F	+	1	10119	5307175	5317303	0	3
haplotigs	Primary Assembly	000000F_006	SCAFFOLD	000000F	+	1	1333	879109	880434	0	0
haplotigs	Primary Assembly	000000F_007	SCAFFOLD	000000F	+	1	9248	12540651	12550020	0	0
haplotigs	Primary Assembly	000000F_008	SCAFFOLD	000000F	+	1	328329	13027182	13317175	0	0
haplotigs	Primary Assembly	000000F_012	SCAFFOLD	000000F	+	1	24831	1675843	1702471	0	0
haplotigs	Primary Assembly	000000F_013	SCAFFOLD	000000F	+	651	17875	11055772	11072674	650	0
haplotigs	Primary Assembly	000000F_014	SCAFFOLD	000000F	+	1	4173	1290531	1294738	0	0
haplotigs	Primary Assembly	000000F_017	SCAFFOLD	000000F	+	1	2046	11775153	11777180	0	0
haplotigs	Primary Assembly	000000F_018	SCAFFOLD	000000F	+	90	41595	8663681	8708427	89	2
haplotigs	Primary Assembly	000000F_019	SCAFFOLD	000000F	+	3	15782	11955853	11978025	2	1
haplotigs	Primary Assembly	000000F_023	SCAFFOLD	000000F	+	1	4980446	27273	5059821	0	0
haplotigs	Primary Assembly	000000F_024	SCAFFOLD	000000F	+	1	2258412	5056002	7330976	0	11573
haplotigs	Primary Assembly	000000F_026	SCAFFOLD	000000F	+	1	22628	12012490	12035173	0	0
haplotigs	Primary Assembly	000000F_029	SCAFFOLD	000000F	+	1	234025	12575185	12712932	0	1957
haplotigs	Primary Assembly	000000F_034	SCAFFOLD	000000F	+	1	24630	9911068	9936357	0	0
haplotigs	Primary Assembly	000000F_035	na	na	na	na	na	na	na	na	na
haplotigs	Primary Assembly	000000F_036	SCAFFOLD	000000F	+	1	19646	12138265	12157697	0	0
haplotigs	Primary Assembly	000000F_039	SCAFFOLD	000000F	+	1	22041	12341916	12364707	0	14
haplotigs	Primary Assembly	000000F_042	SCAFFOLD	000000F	+	1	11075	12600363	12614811	0	1616
